Resource	Repo	EADID
915	10	ua-ppiu-ua90f10
1066	10	us-ppiu-aaccwp
21	10	us-ppiu-ais196301
23	10	us-ppiu-ais196304
188	10	us-ppiu-ais196324
190	10	us-ppiu-ais196327
193	10	us-ppiu-ais196410
1033	10	us-ppiu-ais196411
693	10	us-ppiu-ais196419
198	10	us-ppiu-ais196423
200	10	us-ppiu-ais196426
201	10	us-ppiu-ais196428
203	10	us-ppiu-ais196436
205	10	us-ppiu-ais196438
206	10	us-ppiu-ais196440
211	10	us-ppiu-ais196501
724	10	us-ppiu-ais196506
215	10	us-ppiu-ais196510
216	10	us-ppiu-ais196511
825	10	us-ppiu-ais196516
220	10	us-ppiu-ais196601
221	10	us-ppiu-ais196602
674	10	us-ppiu-ais196616
226	10	us-ppiu-ais196617
896	10	us-ppiu-ais196618
1041	10	us-ppiu-ais196618a
949	10	us-ppiu-ais196703
230	10	us-ppiu-ais196808
868	10	us-ppiu-ais196812
232	10	us-ppiu-ais196813
358	10	us-ppiu-ais196814a
233	10	us-ppiu-ais196814b
236	10	us-ppiu-ais196818
237	10	us-ppiu-ais196821
238	10	us-ppiu-ais196822
872	10	us-ppiu-ais196823
240	10	us-ppiu-ais196905
726	10	us-ppiu-ais196906
242	10	us-ppiu-ais196914
246	10	us-ppiu-ais197002
247	10	us-ppiu-ais197005
250	10	us-ppiu-ais197101
252	10	us-ppiu-ais197104
1131	10	us-ppiu-ais197106
254	10	us-ppiu-ais197106old
255	10	us-ppiu-ais197109
256	10	us-ppiu-ais197110
260	10	us-ppiu-ais197206
907	10	us-ppiu-ais197208
827	10	us-ppiu-ais197211
262	10	us-ppiu-ais197214
263	10	us-ppiu-ais197215
264	10	us-ppiu-ais197304
871	10	us-ppiu-ais197323
875	10	us-ppiu-ais197403
783	10	us-ppiu-ais197417
276	10	us-ppiu-ais197421
278	10	us-ppiu-ais197425
280	10	us-ppiu-ais197429
753	10	us-ppiu-ais197431
282	10	us-ppiu-ais197502
822	10	us-ppiu-ais197508
285	10	us-ppiu-ais197509
287	10	us-ppiu-ais197512
842	10	us-ppiu-ais197516
293	10	us-ppiu-ais197609
294	10	us-ppiu-ais197611
296	10	us-ppiu-ais197617
877	10	us-ppiu-ais197625
956	10	us-ppiu-ais197706
306	10	us-ppiu-ais197715
308	10	us-ppiu-ais197717
310	10	us-ppiu-ais197719
311	10	us-ppiu-ais197722
315	10	us-ppiu-ais197730
317	10	us-ppiu-ais197733
318	10	us-ppiu-ais197736
320	10	us-ppiu-ais197742
812	10	us-ppiu-ais197746
325	10	us-ppiu-ais197803
1040	10	us-ppiu-ais197806
326	10	us-ppiu-ais197808
327	10	us-ppiu-ais197810
328	10	us-ppiu-ais197813
760	10	us-ppiu-ais197822
695	10	us-ppiu-ais197823
335	10	us-ppiu-ais197905
860	10	us-ppiu-ais197911
337	10	us-ppiu-ais197913
339	10	us-ppiu-ais197916
340	10	us-ppiu-ais197917
343	10	us-ppiu-ais197921
838	10	us-ppiu-ais197929
354	10	us-ppiu-ais197942
870	10	us-ppiu-ais198007
372	10	us-ppiu-ais198015a
374	10	us-ppiu-ais198016
376	10	us-ppiu-ais198020
377	10	us-ppiu-ais198021
378	10	us-ppiu-ais198022
381	10	us-ppiu-ais198029
386	10	us-ppiu-ais198103
387	10	us-ppiu-ais198108
905	10	us-ppiu-ais198109
389	10	us-ppiu-ais198111
739	10	us-ppiu-ais198115
975	10	us-ppiu-ais198118
1097	10	us-ppiu-ais198119
394	10	us-ppiu-ais198207
712	10	us-ppiu-ais198213
809	10	us-ppiu-ais198214
397	10	us-ppiu-ais198215
398	10	us-ppiu-ais198216
399	10	us-ppiu-ais198219
816	10	us-ppiu-ais198223
461	10	us-ppiu-ais198224
402	10	us-ppiu-ais198225
826	10	us-ppiu-ais198301
738	10	us-ppiu-ais198303
404	10	us-ppiu-ais198307
407	10	us-ppiu-ais198317
410	10	us-ppiu-ais198401
844	10	us-ppiu-ais198409
740	10	us-ppiu-ais198410
716	10	us-ppiu-ais198411
413	10	us-ppiu-ais198412
415	10	us-ppiu-ais198417
706	10	us-ppiu-ais198418
754	10	us-ppiu-ais198428
419	10	us-ppiu-ais198503
425	10	us-ppiu-ais198511
748	10	us-ppiu-ais198606
433	10	us-ppiu-ais198701
986	10	us-ppiu-ais198702
761	10	us-ppiu-ais198703
867	10	us-ppiu-ais198704
436	10	us-ppiu-ais198707
444	10	us-ppiu-ais198804
762	10	us-ppiu-ais198807
757	10	us-ppiu-ais198811
713	10	us-ppiu-ais198817
743	10	us-ppiu-ais198904
786	10	us-ppiu-ais198905
455	10	us-ppiu-ais198907
472	10	us-ppiu-ais199012
473	10	us-ppiu-ais199013
729	10	us-ppiu-ais199014
477	10	us-ppiu-ais199021
847	10	us-ppiu-ais199105
479	10	us-ppiu-ais199106
771	10	us-ppiu-ais199108
730	10	us-ppiu-ais199110
480	10	us-ppiu-ais199111
600	10	us-ppiu-ais199115
